[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000826s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000959s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ route_check ] --START--
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Run CheckRoute Behavior [ RunTime:0.001512s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ route_check ] --END-- [ RunTime:0.001835s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002118s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002365s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.003850s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | SQL: SELECT COUNT(*) AS tp_count FROM `think_news` LIMIT 1   [ RunTime:0.000197s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | SQL: SELECT COUNT(*) AS tp_count FROM `think_news` WHERE ( `author` LIKE 'jingwhale' ) LIMIT 1   [ RunTime:0.000285s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | SQL: SELECT `id`,`subject`,`author`,`createtime`,`lastmodifytime`,`sum` FROM `think_news` WHERE ( `author` LIKE 'jingwhale' ) ORDER BY id desc LIMIT 0,8   [ RunTime:0.001225s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ view_template ] --START--
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Run LocationTemplate Behavior [ RunTime:0.001135s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ view_template ] --END-- [ RunTime:0.001278s ]
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:13+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
